AX,AY,AZ,GX,GY,GZ,label
122.48,239.31,985.18,6.22,-3.19,1.81,natural
130.38,243.15,981.43,6.65,-3.56,1.44,natural
131.59,233.58,967.63,6.2,-4.37,1.69,natural
127.05,226.52,979.35,6.02,-4.31,0.55,natural
124.33,227.07,970.14,6.32,-4.79,0.32,natural
121.32,236.33,970.04,5.48,-4.14,-0.66,natural
122.36,226.54,959.41,5.63,-3.55,-0.52,natural
121.78,225.03,947.58,5.06,-3.91,0.32,natural
123.5,216.21,950.17,4.75,-4.46,0.81,natural
128.66,220.87,943.46,4.5,-4.19,1.59,natural
126.26,219.94,934.61,3.55,-3.54,2.68,natural
125.9,224.96,937.5,3.03,-3.25,3.91,natural
125.72,232.78,916.55,3.69,-3.18,3.67,natural
126.18,222.85,914.79,3.97,-2.0,3.26,natural
122.14,220.34,922.11,4.24,-2.42,3.67,natural
122.62,225.18,916.49,3.97,-2.74,2.5,natural
124.11,226.49,916.54,3.79,-3.87,2.16,natural
122.39,222.47,915.25,4.11,-2.36,2.3,natural
123.68,222.1,899.9,4.09,-2.31,4.27,natural
122.72,223.61,899.62,3.15,-1.4,4.87,natural
126.67,219.06,910.84,2.03,-0.93,6.62,natural
121.72,216.23,911.64,1.63,-2.17,6.68,natural
116.41,218.6,904.28,2.87,-2.8,6.42,natural
120.48,212.45,906.1,3.91,-4.08,6.57,natural
121.78,216.35,896.21,2.86,-3.66,6.81,natural
123.03,218.09,890.77,3.04,-3.43,6.23,natural
132.36,220.46,881.24,3.57,-4.21,6.86,natural
138.15,216.35,888.94,3.9,-3.55,8.38,natural
136.92,212.58,881.83,3.25,-3.61,8.65,natural
138.31,216.72,881.93,4.41,-3.83,10.83,natural
141.43,212.43,873.36,4.8,-4.0,11.4,natural
143.8,212.07,866.59,3.58,-4.36,12.09,natural
144.87,205.84,867.97,3.89,-5.07,12.21,natural
145.16,200.13,870.84,4.34,-4.2,13.05,natural
138.27,195.44,874.96,4.75,-3.79,16.13,natural
141.13,201.11,882.59,5.27,-4.04,16.74,natural
137.26,199.93,878.71,5.34,-2.19,15.25,natural
140.7,191.87,874.93,6.21,-2.14,14.39,natural
137.12,195.26,869.09,6.38,-2.1,13.86,natural
147.84,198.43,852.89,6.53,-2.63,14.55,natural
143.88,197.86,856.93,7.22,-3.59,14.28,natural
141.5,194.59,871.05,7.55,-4.6,15.01,natural
152.11,199.76,858.89,7.16,-3.59,14.45,natural
154.33,203.63,851.48,7.11,-6.18,13.63,natural
153.07,197.39,864.54,5.97,-6.53,13.73,natural
160.28,190.21,873.84,5.98,-7.32,14.1,natural
161.27,187.21,874.4,5.67,-7.23,14.63,natural
169.2,181.02,891.47,4.11,-7.35,15.1,natural
170.61,177.91,889.8,3.71,-7.82,15.78,natural
172.39,174.44,897.0,3.96,-7.17,16.29,natural
168.25,171.64,902.98,4.45,-7.19,16.38,natural
174.63,168.68,907.35,4.29,-7.36,17.26,natural
178.76,172.75,917.8,4.3,-6.81,17.01,natural
180.38,172.1,918.57,4.78,-7.47,18.68,natural
175.35,166.03,927.84,5.41,-6.97,19.19,natural
175.29,161.54,928.44,4.87,-6.19,19.07,natural
171.16,159.94,931.75,4.42,-6.85,19.26,natural
172.39,157.4,927.98,4.6,-8.01,18.14,natural
168.8,156.34,930.47,5.78,-7.32,18.01,natural
168.7,151.32,930.32,5.55,-7.06,17.35,natural
171.3,158.99,929.45,5.88,-6.51,17.03,natural
172.42,159.05,930.23,5.26,-6.49,17.43,natural
179.67,163.85,947.46,4.64,-5.79,17.57,natural
190.62,159.8,940.74,4.16,-7.49,17.15,natural
186.83,160.56,943.47,5.66,-6.73,16.69,natural
182.33,163.02,932.91,7.13,-5.79,16.32,natural
173.77,169.79,931.99,8.12,-7.06,15.84,natural
173.8,170.02,928.39,8.62,-7.92,15.72,natural
174.4,172.59,934.09,7.72,-9.14,16.74,natural
176.06,168.85,946.5,7.81,-8.2,16.8,natural
186.36,177.63,944.5,8.59,-7.68,17.89,natural
181.54,181.06,952.97,7.18,-8.63,16.26,natural
180.19,184.64,964.99,7.24,-7.33,15.16,natural
171.67,184.37,968.06,7.21,-8.98,15.09,natural
165.15,187.72,971.0,6.46,-9.39,14.24,natural
396.79,-26.04,1134.05,-131.07,-123.08,-183.65,artificial
-331.06,-221.41,741.61,-164.52,-151.75,-15.69,artificial
-293.67,-135.73,1002.73,76.16,-184.28,119.76,artificial
127.9,-418.24,1298.86,168.35,-175.57,-89.25,artificial
306.2,248.26,747.62,-116.26,-51.81,-6.19,artificial
118.25,-131.09,970.03,98.99,-185.33,-99.03,artificial
213.35,395.21,1009.34,12.85,-157.13,-21.04,artificial
32.62,-257.53,815.39,-49.09,-191.97,-71.17,artificial
-288.55,-172.5,695.81,156.21,37.44,71.64,artificial
289.17,-1.56,669.54,14.84,34.74,98.18,artificial
-68.34,-372.42,827.02,-54.77,58.37,28.31,artificial
-143.9,486.52,1084.62,-105.11,-159.29,-138.86,artificial
-254.04,-339.32,749.25,-85.96,-130.65,158.71,artificial
-419.77,24.51,928.32,192.95,-155.18,-40.86,artificial
469.47,365.51,1253.66,-96.84,-131.64,67.46,artificial
429.38,56.76,1057.29,-88.01,107.8,-125.18,artificial
-176.32,-74.56,1006.09,-103.04,-154.07,44.25,artificial
-211.37,81.24,723.49,-7.54,13.04,-179.27,artificial
-163.4,-365.59,650.7,195.98,-71.06,123.95,artificial
-245.36,181.5,1208.18,38.26,-11.37,-35.26,artificial
-151.13,429.53,1264.5,186.01,-150.28,92.35,artificial
438.34,-318.77,653.2,96.45,29.79,136.73,artificial
-360.23,295.27,761.3,-134.54,-134.29,125.83,artificial
165.2,23.07,887.06,150.88,-43.02,126.64,artificial
-60.87,-123.06,970.14,-79.45,99.04,1.09,artificial
-267.79,399.57,907.11,17.42,162.59,49.7,artificial
-383.1,439.83,1102.17,-66.04,-144.29,117.61,artificial
120.07,33.46,1315.11,115.44,-139.33,-75.31,artificial
-251.51,243.95,626.83,27.96,104.98,150.71,artificial
-157.92,321.26,688.51,138.58,-149.0,-41.09,artificial
297.3,-350.08,783.4,88.9,88.01,56.46,artificial
193.95,42.72,801.44,-61.72,-127.36,163.38,artificial
83.39,-99.15,969.6,178.91,-138.66,34.49,artificial
5.89,111.45,614.49,148.85,172.85,26.05,artificial
196.65,422.5,1165.79,-138.98,30.52,42.69,artificial
-75.87,236.44,1347.49,170.23,-19.66,-154.7,artificial
484.84,338.9,699.73,168.34,147.96,7.54,artificial
91.28,-101.0,643.81,-65.92,121.14,-198.15,artificial
-166.5,-101.83,1029.92,167.94,-61.46,-61.22,artificial
237.5,-47.78,779.68,-19.02,-143.66,-129.45,artificial
-1.63,-81.07,1331.88,-55.04,32.24,52.91,artificial
-486.91,163.54,742.43,184.43,-140.53,-34.15,artificial
-414.65,496.87,1001.76,38.15,-173.17,99.98,artificial
-290.09,398.05,764.11,-123.72,-185.38,-11.17,artificial
64.84,-434.29,1220.42,-18.68,9.76,-23.69,artificial
-99.24,59.64,724.19,-127.23,144.71,178.45,artificial
-126.69,-229.26,1115.2,-36.51,-189.85,-137.54,artificial
215.97,158.92,621.68,-111.21,-107.57,68.76,artificial
-480.29,-395.89,1239.93,-128.58,61.1,-104.73,artificial
-400.56,-256.83,1177.81,142.28,132.09,-41.13,artificial
